"","Revenue.AUD.","cluster"
"1",212.5,1
"2",526.36,2
"3",77.23,3
"4",190.91,1
"5",204.09,1
"6",122.71,3
"7",104.46,3
"8",54.5,3
"9",81.77,3
"10",72.68,3
"11",127.23,3
"12",63.59,3
"13",154.5,3
"14",100.88,3
"15",35.6,3
"16",79.45,3
"17",67.19,3
"18",172.68,3
"19",49.36,3
"20",345.45,1
"21",53.64,3
"22",308.9,1
"23",21.96,3
"24",156.78,3
"25",54.55,3
"26",162.64,3
"27",90.86,3
"28",222.6,1
"29",168.31,3
"30",330.83,1
"31",101.79,3
"32",243.83,1
"33",136.32,3
"34",162.64,3
"35",218.1,1
"36",168.17,3
"37",42.46,3
"38",62.73,3
"39",290,1
"40",81.77,3
"41",108.96,3
"42",263.44,1
"43",50.9,3
"44",63.59,3
"45",244.55,1
"46",136.32,3
"47",63.59,3
"48",127.23,3
"49",588.19,2
"50",146.1,3
"51",495.45,1
"52",54.55,3
"53",90.86,3
"54",44.55,3
"55",90.91,3
"56",282.02,1
"57",217.22,1
"58",272.54,1
"59",54.5,3
"60",193.06,1
"61",122.63,3
"62",80.91,3
"63",390.82,1
"64",35.45,3
"65",54.55,3
"66",81.81,3
"67",134.73,3
"68",95.38,3
"69",83.57,3
"70",90.86,3
"71",31.83,3
"72",90.91,3
"73",784.59,2
"74",200,1
"75",480.91,1
"76",601.09,2
"77",0,3
"78",54.5,3
"79",127.27,3
"80",485.46,1
"81",222.73,1
"82",181.77,1
"83",26.54,3
"84",141.75,3
"85",181.77,1
"86",81.77,3
"87",118.12,3
"88",133.6,3
"89",44.69,3
"90",35.42,3
"91",145.41,3
"92",50.23,3
"93",113.51,3
"94",72.64,3
"95",136.27,3
"96",113.61,3
"97",253.64,1
"98",536.31,2
"99",81.77,3
"100",108.18,3
"101",109.09,3
"102",100.45,3
"103",100,3
"104",91.95,3
"105",109.05,3
"106",153.64,3
"107",100.33,3
"108",59.05,3
"109",72.68,3
"110",99.1,3
"111",118.14,3
"112",77.22,3
"113",298.95,1
"114",49.95,3
"115",54.07,3
"116",45.45,3
"117",72.68,3
"118",109.31,3
"119",70.36,3
"120",199.92,1
"121",54.5,3
"122",113.55,3
"123",81.78,3
"124",63.63,3
"125",81.77,3
"126",127.18,3
"127",135.45,3
"128",45.12,3
"129",270.46,1
"130",281.59,1
"131",47.59,3
"132",62.73,3
"133",112.15,3
"134",59.09,3
"135",109.05,3
"136",45.45,3
"137",104,3
"138",109.09,3
"139",272.68,1
"140",8.15,3
"141",244.45,1
"142",76.13,3
"143",80,3
"144",227.28,1
"145",149.94,3
"146",42.89,3
"147",127.17,3
"148",21.09,3
"149",163.56,3
"150",715.03,2
"151",193.23,1
"152",16.73,3
"153",115.14,3
"154",50.86,3
"155",109.04,3
"156",181.77,1
"157",453.64,1
"158",90,3
"159",90.86,3
"160",68.09,3
"161",127.25,3
"162",46.36,3
"163",26.54,3
"164",56.55,3
"165",35.42,3
"166",161.99,3
"167",194.5,1
"168",72.68,3
"169",154.55,3
"170",258.94,1
"171",137.92,3
"172",99.82,3
"173",118.1,3
"174",71.82,3
"175",254.5,1
"176",90.91,3
"177",0,3
"178",73.41,3
"179",271.82,1
"180",80.91,3
"181",90.86,3
"182",44.72,3
"183",155.91,3
"184",87.24,3
"185",30.87,3
"186",26.33,3
"187",115.4,3
"188",166.35,3
"189",71.5,3
"190",149.86,3
"191",181.73,1
"192",54.53,3
"193",82.62,3
"194",225.64,1
"195",19.41,3
"196",127.26,3
"197",412.63,1
"198",271.77,1
"199",248.31,1
"200",108.36,3
"201",54.55,3
"202",162.68,3
"203",299.54,1
"204",122.13,3
"205",59.05,3
"206",104.53,3
"207",204.46,1
"208",90.86,3
"209",109.05,3
"210",98.59,3
"211",272.59,1
"212",118.09,3
"213",153.23,3
"214",51.77,3
"215",109.03,3
"216",75.36,3
"217",200.74,1
"218",81.81,3
"219",0,3
"220",164.73,3
"221",62.73,3
"222",54.55,3
"223",210,1
"224",40.01,3
"225",59.09,3
"226",71.82,3
"227",63.13,3
"228",103.55,3
"229",109.09,3
"230",254.46,1
"231",90.82,3
"232",26.35,3
"233",335.45,1
"234",123.99,3
"235",111.33,3
"236",72.68,3
"237",261.55,1
"238",136.73,3
"239",124.44,3
"240",54.46,3
"241",211.32,1
"242",90.82,3
"243",44.69,3
"244",167.79,3
"245",294.51,1
"246",25.59,3
"247",63.59,3
"248",54.18,3
"249",40.01,3
"250",72.68,3
"251",96.31,3
"252",406.69,1
"253",81.77,3
"254",217,1
"255",398.82,1
"256",90.85,3
"257",162.87,3
"258",149.04,3
"259",144.64,3
"260",67.73,3
"261",135.45,3
"262",287.28,1
"263",35.64,3
"264",54.45,3
"265",268.18,1
"266",324.08,1
"267",72.64,3
"268",98.09,3
"269",193.48,1
"270",408.18,1
"271",62.73,3
"272",90.86,3
"273",145.36,3
"274",109,3
"275",118.09,3
"276",53.64,3
"277",70.41,3
"278",65.34,3
"279",48.96,3
"280",49.95,3
"281",49.75,3
"282",81.72,3
"283",98.57,3
"284",526.36,2
"285",127.68,3
"286",106.24,3
"287",113.52,3
"288",70.46,3
"289",90.86,3
"290",46.57,3
"291",40.14,3
"292",190,1
"293",67.23,3
"294",109,3
"295",71.82,3
"296",172.63,3
"297",93.31,3
"298",118.14,3
"299",136.23,3
"300",81.81,3
"301",90,3
"302",454.54,1
"303",169.91,3
"304",271.82,1
"305",169.92,3
"306",39.5,3
"307",39.5,3
"308",95.41,3
"309",63.59,3
"310",63.6,3
"311",80.82,3
"312",59.05,3
"313",69.07,3
"314",99.95,3
"315",70.64,3
"316",209.04,1
"317",151.54,3
"318",54.53,3
"319",72.65,3
"320",213.62,1
"321",104.53,3
"322",95.17,3
"323",207.05,1
"324",68.14,3
"325",63.59,3
"326",115.14,3
"327",280.91,1
"328",131.8,3
"329",135.09,3
"330",109.05,3
"331",11.96,3
"332",74.86,3
"333",661.67,2
"334",86.27,3
"335",63.59,3
"336",51.73,3
"337",63.64,3
"338",42.92,3
"339",145.45,3
"340",81.36,3
"341",58.33,3
"342",154.54,3
"343",690.64,2
"344",218.52,1
"345",119.04,3
"346",136.32,3
"347",72.67,3
"348",71.5,3
"349",11.98,3
"350",384.96,1
"351",145.41,3
"352",68.18,3
"353",54.05,3
"354",54.5,3
"355",296.12,1
"356",80.91,3
"357",147.64,3
"358",28.99,3
"359",95.38,3
"360",81.77,3
"361",94.55,3
"362",81.77,3
"363",44.05,3
"364",53.32,3
"365",249,1
"366",148.11,3
"367",341.3,1
